sku|store_number|description|regular_price|dept_code|sale_price|sale_qty|promo_start_date|promo_end_date|promo_min_qty|promo_limit_qty|promo_buy_qty|promo_get_qty|promo_tag|family_sale_code|tax_pct|bottle_deposit|cool|brand_name|product_name|size|uom|scale_flag|how_to_sell|avg_weight|wgt_selector|item_location
00025700023135|72|ZIPLOC LOW SLIDER FREEZER GAL|3.29|27|6.00|2|2018/03/22|2018/09/05|0|0|||Giant Eagle Advantage Card Price|||||||10|CT|N||||
00071072003749|72|ALESSI SOUP TUSCAN WHT BEAN|3.49|1||||||||||||||||6|OZ|N||||
00030034027360|72|GE WH PICKLED BEETS JAR|1.29|1||||||||||||||||16|OZ|N||||
00209334000001|72|2 LB LIVE LOBSTER|17.99|23||||||||||||||||1|EA|Y||||
00024842011215|72|BUITONI FETTUCCINE|3.79|3||||||||||||||||9|OZ|N||||
00024842011314|72|BUITONI LINGUINI|3.79|3|2.79|1|2018/06/28|2018/07/11|0|0|||Giant Eagle Advantage Card Price|15164426||||||9|OZ|N||||
00024842011512|72|BUITONI ANGEL HAIR|3.79|3||||||||||||||||9|OZ|N||||
00024842112110|72|BUITONI 3 CHEESE TORTELLINI|5.29|3|4.29|1|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15069761||||||9|OZ|N||||
00024842172114|72|BUITONI 4 CHEESE RAVIOLI|5.29|3|4.29|1|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15069761||||||9|OZ|N||||
00024842311216|72|BUITONI MARINARA SAUCE|5.29|3|4.29|1|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15069771||||||15|OZ|N||||
00035457770015|72|MAMA MARYS PZA CRUST 12"|4.99|69||||||||||||||||24|OZ|N||||
00025484000100|72|TOFU NASOYA FIRM|2.99|4||||||||||||||||1|EA|N||||
00074570950034|72|HAGN DAZS PISTACHIO|4.99|96||||||||||||||||14|OZ|N||||
00050200008801|72|SUNNY D TANGY 5% SQUARE CARTON|3.49|35||||||||||||||||128|OZ|N||||
00050200008214|72|SUNNY D TANGY FLORIDA 5%|1.99|35|10.00|10|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15134530||||||64|OZ|N||||
00030034000516|72|GE MEDIUM GRADE A 15 DZ|1.29|35||||||||||||||||1|DZ|N||||
00030034000509|72|GE LARGE EGGS GRADE A   15-1DZ|1.39|35||||||||||||||||1|DZ|N||||
00030034000523|72|GE EXTRA LG EGGS GRADE A 15/DZ|1.49|35||||||||||||||||1|DZ|N||||
00030034000639|72|GE JUMBO EGGS GRADE A|1.59|35||||||||||||||||1|DZ|N||||
00017929003135|72|RED STAR COMPRESSED YEAST 8PK|3.49|35||||||||||||||||2|OZ|N||||
00040600387187|72|ICBNB LIGHT BOWL|2.99|35|5.00|2|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15015042||||||15|OZ|N||||
00040600341004|72|ICBNB SOFT TUB 2/7.5 OZ|2.99|35|5.00|2|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15015042||||||15|OZ|N||||
00030034014414|72|GE CIDER VINEGAR|1.49|1||||||||||||||||16|OZ|N||||
00040600345002|72|ICBNB SOFT TUB|2.99|35|5.00|2|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15015042||||||15|OZ|N||||
00715141503494|72|EGGLAND BEST LARGE EGGS|3.29|35||||||||||||||||1|DZ|N||||
00030034000530|72|GE 18CT LARGE EGG GRADE A|1.89|35||||||||||||||||1.50|DZ|N||||
00766878000800|72|A&H SPINBRUSH PROCLEAN SFT RFL|8.99|110||||||||||14556988||||||2|EA|N||||
00029000650206|72|PARKAY QTRS|1.99|35||||||||||||||||16|OZ|N||||
00051131707092|72|3M SCOTCH 3PK GFT WRP TAPE 120|4.79|11||||||||||||||||1|EA|N||||
